AB_2	MN_2	R_corregida
1	0.5	29.868797545046565
3	0.5	42.794476014832796
3	1.0	42.794476014832796
5	1.0	51.35337121779935
7	1.0	58.696903301944666
10	1.0	66.98451209446004
15	1.0	69.08740207834606
15	3.0	69.08740207834606
20	3.0	77.09660399528559
30	3.0	43.49809926490826
40	3.0	40.45183326331471
40	5.0	40.45183326331471
50	5.0	26.57925385262909
60	5.0	24.83415132695142
80	5.0	17.71387017726605
80	10.0	17.71387017726605
100	10.0	15.550883635269477
