AB_2;MN_2;I;Unidad_I;V;Unidad_V;R;Unidad_R;PS;Unidad_PS;Latitud;Longitud
1;0.5;100.6;mA;1.2;mV;11.4;Ohm;27.8;mV;-5.17657;-80.61423
3;0.5;83.6;mA;118.4;mV;1.4;Ohm;32;mV;-5.17657;-80.61423
3;1;84.1;mA;293.3;mV;3.5;Ohm;57.2;mV;-5.17657;-80.61423
5;1;73.9;mA;99.9;mV;1.4;Ohm;61.2;mV;-5.17657;-80.61423
7;1;89.6;mA;71.7;mV;800.1;mOhm;68.7;mV;-5.17657;-80.61423
10;1;103.4;mA;45.8;mV;442.7;mOhm;74;mV;-5.17657;-80.61423
15;1;94.7;mA;19.1;mV;201.8;mOhm;78.6;mV;-5.17657;-80.61423
15;3;95.9;mA;46.8;mV;488.1;mOhm;103.8;mV;-5.17657;-80.61423
20;3;84.7;mA;25.5;mV;300.9;mOhm;77.2;mV;-5.17657;-80.61423
30;3;40.4;mA;3;mV;74.5;mOhm;117.8;mV;-5.17657;-80.61423
40;3;88.6;mA;3.4;mV;38.8;mOhm;92.9;mV;-5.17657;-80.61423
40;5;88.8;mA;6.1;mV;68.4;mOhm;37.3;mV;-5.17657;-80.61423
50;5;42.7;mA;1.2;mV;28.6;mOhm;40.1;mV;-5.17657;-80.61423
60;5;68.9;mA;1.3;mV;18.5;mOhm;41.8;mV;-5.17657;-80.61423
80;5;64.5;mA;476.9;uV;7.4;mOhm;43.5;mV;-5.17657;-80.61423
80;10;66;mA;1.2;mV;17.9;mOhm;19;mV;-5.17657;-80.61423
100;10;118.5;mA;1.2;mV;10;mOhm;16.5;mV;-5.17657;-80.61423
