AB_2	MN_2	R_corregida
1	0.5	3.1442102628076862e-06
3	0.5	7.336490613217935e-05
3	1.0	7.336490613217935e-05
5	1.0	2.7728468459406367e-05
7	1.0	8.318540537821911e-05
10	1.0	0.00011437993239505127
15	1.0	0.12918924525807923
15	3.0	0.12918924525807923
20	3.0	0.09472666647146552
30	3.0	0.10793025553206621
40	3.0	0.19272394674693302
40	5.0	0.19272394674693302
50	5.0	0.10095063877220303
60	5.0	0.7199743473545314
80	5.0	5.541769440932395
80	10.0	5.541769440932395
100	10.0	2.4881413816431164
