AB_2	MN_2	R_corregida
1	0.5	30.782605905325983
3	0.5	39.13600537108751
3	1.0	39.13600537108751
5	1.0	53.67223593749144
7	1.0	62.407392336318175
10	1.0	68.30127474520397
15	1.0	81.24634715037767
15	3.0	81.24634715037767
20	3.0	83.4276292058888
30	3.0	55.23134092885484
40	3.0	47.82221041086956
40	5.0	47.82221041086956
50	5.0	29.967467523025185
60	5.0	21.08821788657328
80	5.0	18.406591357382602
80	10.0	18.406591357382602
100	10.0	13.37375992633175
